treat	bias	n	k	subject	market	indexed	period	price	p1	p2	p3	p4
t1	u	3	3	10	6	T	5	0.325	1	0.5	0.5	0.5
t1	u	3	3	15	6	T	5	0.654	0.5	0.6	0.6	0.5
t1	u	3	3	5	6	T	5	0.85	0.5	0.6	0.7	0.6
t1	u	3	3	4	1	T	6	0.25	1	0.7	0.9	0.8
t1	u	3	3	11	1	T	6	0.499	1	0.5	0.4	0.1
t1	u	3	3	9	1	T	6	0.989	1	0.8	0.5	0.5
t1	u	3	3	5	2	T	6	0.1	0.5	0.6	0.7	0.6
t1	u	3	3	18	2	T	6	0.3	0.8	0.8	0.8	0.8
t1	u	3	3	16	2	T	6	0.469	0.4	0.6	0.4	0.6
t1	u	3	3	1	3	T	6	0.25	0.9	0.8	0.7	0.6
t1	u	3	3	3	3	T	6	0.5	0.7	0.6	0.7	0.5
t1	u	3	3	2	3	T	6	0.878	0.7	0.6	0.8	0.8
t1	u	3	3	15	4	T	6	0.319	0.5	0.6	0.6	0.5
t1	u	3	3	10	4	T	6	0.4	1	0.5	0.5	0.5
t1	u	3	3	7	4	T	6	0.999	0.5	0.5	0.5	0.5
t1	u	3	3	12	5	T	6	0.35	0.6	0.6	0.7	0.7
t1	u	3	3	17	5	T	6	0.35	0.3	0.4	0.5	0.6
t1	u	3	3	13	5	T	6	0.555	0.5	0.4	0.5	0.5
t1	u	3	3	6	6	T	6	0.25	0.4	0.3	0.3	0.4
t1	u	3	3	14	6	T	6	0.798	0.5	0.5	0.4	0.2
t1	u	3	3	8	6	T	6	1	0.7	0.7	0.6	0.5
t1	u	3	3	18	1	T	7	0.3	0.8	0.8	0.8	0.8
t1	u	3	3	2	1	T	7	0.499	0.7	0.6	0.8	0.8
t1	u	3	3	16	1	T	7	0.989	0.4	0.6	0.4	0.6
t1	u	3	3	14	2	T	7	0.6	0.5	0.5	0.4	0.2
t1	u	3	3	7	2	T	7	0.651	0.5	0.5	0.5	0.5
t1	u	3	3	3	2	T	7	1	0.7	0.6	0.7	0.5
t1	u	3	3	13	3	T	7	0.246	0.5	0.4	0.5	0.5
t1	u	3	3	6	3	T	7	0.275	0.4	0.3	0.3	0.4
t1	u	3	3	15	3	T	7	0.398	0.5	0.6	0.6	0.5
t1	u	3	3	1	4	T	7	0.275	0.9	0.8	0.7	0.6
t1	u	3	3	17	4	T	7	0.4	0.3	0.4	0.5	0.6
t1	u	3	3	10	4	T	7	0.95	1	0.5	0.5	0.5
t1	u	3	3	8	5	T	7	0.3	0.7	0.7	0.6	0.5
t1	u	3	3	12	5	T	7	0.4	0.6	0.6	0.7	0.7
t1	u	3	3	5	5	T	7	0.999	0.5	0.6	0.7	0.6
t1	u	3	3	11	6	T	7	0.349	1	0.5	0.4	0.1
t1	u	3	3	4	6	T	7	0.42	1	0.7	0.9	0.8
t1	u	3	3	9	6	T	7	1	1	0.8	0.5	0.5
t1	u	3	3	17	1	T	8	0.23	0.3	0.4	0.5	0.6
t1	u	3	3	1	1	T	8	0.32	0.9	0.8	0.7	0.6
t1	u	3	3	11	1	T	8	0.399	1	0.5	0.4	0.1
t1	u	3	3	12	2	T	8	0.3	0.6	0.6	0.7	0.7
t1	u	3	3	7	2	T	8	0.549	0.5	0.5	0.5	0.5
t1	u	3	3	13	2	T	8	0.599	0.5	0.4	0.5	0.5
t1	u	3	3	3	3	T	8	0.2	0.7	0.6	0.7	0.5
t1	u	3	3	14	3	T	8	0.648	0.5	0.5	0.4	0.2
t1	u	3	3	9	3	T	8	1	1	0.8	0.5	0.5
t1	u	3	3	18	4	T	8	0.315	0.8	0.8	0.8	0.8
t1	u	3	3	2	4	T	8	0.899	0.7	0.6	0.8	0.8
t1	u	3	3	10	4	T	8	0.995	1	0.5	0.5	0.5
t1	u	3	3	6	5	T	8	0.26	0.4	0.3	0.3	0.4
t1	u	3	3	4	5	T	8	0.34	1	0.7	0.9	0.8
t1	u	3	3	15	5	T	8	0.398	0.5	0.6	0.6	0.5
t1	u	3	3	5	6	T	8	0.25	0.5	0.6	0.7	0.6
t1	u	3	3	16	6	T	8	0.545	0.4	0.6	0.4	0.6
t1	u	3	3	8	6	T	8	1	0.7	0.7	0.6	0.5
t1	u	3	3	1	1	T	9	0.28	0.9	0.8	0.7	0.6
t1	u	3	3	4	1	T	9	0.43	1	0.7	0.9	0.8
